Symbol,Date,Open,Close,Shortname,Sector,Weight,PcChangeDay
AVB,2020-03-20,147.72000122070312,131.6199951171875,"AvalonBay Communities, Inc.",Real Estate,0.0007950666101808,-10.9
AVY,2020-03-20,103.41000366210938,90.8000030517578,Avery Dennison Corporation,Industrials,0.0004087594167661,-12.19
BKR,2020-03-20,10.1899995803833,10.0,Baker Hughes Company,Energy,0.0007111348116363,-1.86
BAC,2020-03-20,21.76000022888184,19.670000076293945,Bank of America Corporation,Financial Services,0.0076316749289533,-9.6
BBWI,2020-03-20,8.75505256652832,7.906225204467773,"Bath & Body Works, Inc.",Consumer Cyclical,0.0002057649579174,-9.7
BAX,2020-03-20,76.8499984741211,75.75,Baxter International Inc.,Healthcare,0.0009629760026561,-1.43
BDX,2020-03-20,212.49755859375,214.751220703125,"Becton, Dickinson and Company",Healthcare,0.0020081033255241,1.06
WRB,2020-03-20,32.41999816894531,31.71999931335449,W.R. Berkley Corporation,Financial Services,0.0003465575289724,-2.16
BRK-B,2020-03-20,176.3000030517578,170.05999755859375,Berkshire Hathaway Inc. New,Financial Services,0.0184628581557925,-3.54
BBY,2020-03-20,55.61000061035156,51.650001525878906,"Best Buy Co., Inc.",Consumer Cyclical,0.0005037268985654,-7.12
BIO,2020-03-20,347.3500061035156,329.010009765625,"Bio-Rad Laboratories, Inc.",Healthcare,0.0004448914892912,-5.28
TECH,2020-03-20,164.5500030517578,167.25999450683594,Bio-Techne Corp,Healthcare,0.0004122333195693,1.65
BIIB,2020-03-20,288.0199890136719,278.7699890136719,Biogen Inc.,Healthcare,0.0009416369360391,-3.21
BLK,2020-03-20,401.010009765625,354.7200012207031,"BlackRock, Inc.",Financial Services,0.0027252503040518,-11.54
BK,2020-03-20,30.299999237060547,29.06999969482422,The Bank of New York Mellon Cor,Financial Services,0.0010257093483426,-4.06
BA,2020-03-20,99.8499984741211,95.01000213623048,Boeing Company (The),Industrials,0.0025715154361784,-4.85
BKNG,2020-03-20,1216.3399658203125,1177.4300537109375,Booking Holdings Inc. Common St,Consumer Cyclical,0.0021222814541992,-3.2
BWA,2020-03-20,21.40999984741211,20.5,BorgWarner Inc.,Consumer Cyclical,0.0002460455626184,-4.25
BXP,2020-03-20,86.83999633789062,82.0,"Boston Properties, Inc.",Real Estate,0.0004087029337599,-5.57
BSX,2020-03-20,28.6299991607666,27.239999771118164,Boston Scientific Corporation,Healthcare,0.0015627037327691,-4.86
BMY,2020-03-20,49.04999923706055,48.400001525878906,Bristol-Myers Squibb Company,Healthcare,0.0049508032772368,-1.33
AVGO,2020-03-20,202.0,192.22000122070312,Broadcom Inc.,Technology,0.0059097684079173,-4.84
BR,2020-03-20,93.83999633789062,90.7699966430664,"Broadridge Financial Solutions,",Technology,0.000506420178818,-3.27
BRO,2020-03-20,34.630001068115234,33.619998931884766,"Brown & Brown, Inc.",Financial Services,0.0004958228097816,-2.92
BF-B,2020-03-20,56.84000015258789,48.84999847412109,Brown Forman Inc,Consumer Defensive,0.000974093502535,-14.06
CHRW,2020-03-20,64.56999969482422,63.90999984741211,"C.H. Robinson Worldwide, Inc.",Industrials,0.0003745781850644,-1.02
CDNS,2020-03-20,56.900001525878906,55.08000183105469,"Cadence Design Systems, Inc.",Technology,0.0012709117308168,-3.2
CZR,2020-03-20,8.510000228881836,8.819999694824219,"Caesars Entertainment, Inc.",Consumer Cyclical,0.0002461297847182,3.64
CPT,2020-03-20,77.7300033569336,71.04000091552734,Camden Property Trust,Real Estate,0.0004028325681407,-8.61
CPB,2020-03-20,47.130001068115234,45.29999923706055,Campbell Soup Company,Consumer Defensive,0.0004386558871977,-3.88
COF,2020-03-20,48.0,45.0099983215332,Capital One Financial Corporati,Financial Services,0.0013547030373986,-6.23
CAH,2020-03-20,44.83000183105469,43.33000183105469,"Cardinal Health, Inc.",Healthcare,0.0004457671433579,-3.35
KMX,2020-03-20,49.060001373291016,44.27000045776367,CarMax Inc,Consumer Cyclical,0.0004391682535298,-9.76
CCL,2020-03-20,11.09000015258789,12.0,Carnival Corporation,Consumer Cyclical,0.0003164855501592,8.21
CARR,2020-03-20,13.0,12.75,Carrier Global Corporation,Industrials,0.0009310072909991,-1.92
CTLT,2020-03-20,40.7400016784668,39.20000076293945,"Catalent, Inc.",Healthcare,0.0005325010166464,-3.78
CAT,2020-03-20,103.12000274658205,95.5,"Caterpillar, Inc.",Industrials,0.0028066949624797,-7.39
CBOE,2020-03-20,83.25,79.69000244140625,"Cboe Global Markets, Inc.",Financial Services,0.0003809093363081,-4.28
CBRE,2020-03-20,40.2400016784668,34.2599983215332,CBRE Group Inc,Real Estate,0.0007618814585779,-14.86
CDW,2020-03-20,89.66000366210938,79.55999755859375,CDW Corporation,Technology,0.0006384602741558,-11.26
CE,2020-03-20,65.04000091552734,64.7300033569336,Celanese Corporation Celanese C,Basic Materials,0.0003614795779966,-0.48
CNC,2020-03-20,54.47999954223633,48.84999847412109,Centene Corporation,Healthcare,0.0015079493805539,-10.33
CNP,2020-03-20,12.489999771118164,12.479999542236328,"CenterPoint Energy, Inc (Holdin",Utilities,0.0005505158984881,-0.08
CDAY,2020-03-20,46.08000183105469,47.7599983215332,Ceridian HCM Holding Inc.,Technology,0.0002186046414037,3.65
CF,2020-03-20,23.530000686645508,22.25,"CF Industries Holdings, Inc.",Basic Materials,0.0005447025030602,-5.44
CRL,2020-03-20,111.97000122070312,105.77999877929688,Charles River Laboratories Inte,Healthcare,0.0003264060974905,-5.53
SCHW,2020-03-20,32.5,30.75,Charles Schwab Corporation (The,Financial Services,0.0034995557707739,-5.38
CHTR,2020-03-20,394.80999755859375,371.7000122070313,"Charter Communications, Inc.",Communication Services,0.0024955776729407,-5.85
CVX,2020-03-20,59.52999877929688,59.38999938964844,Chevron Corporation,Energy,0.0079629850606958,-0.24
CMG,2020-03-20,573.8699951171875,566.0,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,0.0010553596685733,-1.37
CB,2020-03-20,99.0,101.55999755859376,Chubb Limited,Financial Services,0.0024579051215736,2.59
CHD,2020-03-20,66.0,65.75,"Church & Dwight Company, Inc.",Consumer Defensive,0.0007039115029354,-0.38
CI,2020-03-20,149.32000732421875,142.08999633789062,Cigna Corporation,Healthcare,0.0027530354366649,-4.84
CINF,2020-03-20,81.95999908447266,75.02999877929688,Cincinnati Financial Corporatio,Financial Services,0.0005598018874097,-8.46
CTAS,2020-03-20,180.1699981689453,175.08999633789062,Cintas Corporation,Industrials,0.0011635172873146,-2.82
CSCO,2020-03-20,38.27000045776367,35.599998474121094,"Cisco Systems, Inc.",Technology,0.0053751740183978,-6.98
C,2020-03-20,40.459999084472656,38.060001373291016,"Citigroup, Inc.",Financial Services,0.0027218122397923,-5.93
CFG,2020-03-20,17.760000228881836,17.520000457763672,"Citizens Financial Group, Inc.",Financial Services,0.0004569967566755,-1.35
CTXS,2020-03-20,126.0,119.33000183105467,"Citrix Systems, Inc.",Technology,0.0003785830281263,-5.29
CLX,2020-03-20,190.6100006103516,177.39999389648438,Clorox Company (The),Consumer Defensive,0.0005256851163679,-6.93
CME,2020-03-20,155.16000366210938,158.41000366210938,CME Group Inc.,Financial Services,0.0021712527991483,2.09
CMS,2020-03-20,55.95000076293945,49.54999923706055,CMS Energy Corporation,Utilities,0.0005677658390453,-11.44
KO,2020-03-20,41.95000076293945,38.29999923706055,Coca-Cola Company (The),Consumer Defensive,0.0080493171586379,-8.7
CTSH,2020-03-20,46.31999969482422,44.09999847412109,Cognizant Technology Solutions ,Technology,0.0010293428955672,-4.79
CL,2020-03-20,66.73999786376953,62.08000183105469,Colgate-Palmolive Company,Consumer Defensive,0.0019626412956349,-6.98
CMCSA,2020-03-20,36.09000015258789,33.369998931884766,Comcast Corporation,Communication Services,0.0054003838913147,-7.54
CMA,2020-03-20,29.26000022888184,28.93000030517578,Comerica Incorporated,Financial Services,0.0002862040818133,-1.13
CAG,2020-03-20,26.309999465942383,26.049999237060547,"ConAgra Brands, Inc.",Consumer Defensive,0.0005077904778639,-0.99
COP,2020-03-20,27.059999465942383,26.84000015258789,ConocoPhillips,Energy,0.0032728688526874,-0.81
ED,2020-03-20,81.23999786376953,72.58999633789062,"Consolidated Edison, Inc.",Utilities,0.0009763616530123,-10.65
STZ,2020-03-20,126.5999984741211,119.6999969482422,"Constellation Brands, Inc.",Consumer Defensive,0.0013412086230003,-5.45
COO,2020-03-20,278.17999267578125,250.6499938964844,"The Cooper Companies, Inc.",Healthcare,0.0004366070917484,-9.9
